backend,method,case,n_regions,n_samples,ipp,trial,time_s,peak_MB
polars_bio,per_sample_loop,small,100,10,100,0,0.02030741609632969,0.092714
polars_bio,per_sample_loop,small,100,10,100,1,0.020074000116437674,0.086025
polars_bio,per_sample_loop,small,100,10,100,2,0.02030229102820158,0.078761
polars_bio,per_sample_loop,small,100,10,100,3,0.021024582907557487,0.084499
polars_bio,per_sample_loop,small,100,10,100,4,0.019376832991838455,0.083672
polars_bio,per_sample_loop,small,100,10,100,5,0.01911829086020589,0.075932
polars_bio,per_sample_loop,small,100,10,100,6,0.019356582779437304,0.07295
polars_bio,per_sample_loop,small,100,10,100,7,0.02095616701990366,0.070192
polars_bio,per_sample_loop,small,100,10,100,8,0.02051099995151162,0.087571
polars_bio,per_sample_loop,small,100,10,100,9,0.02078441670164466,0.081629
polars_bio,per_sample_loop,small,100,10,100,10,0.020475417375564575,0.078029
polars_bio,per_sample_loop,small,100,10,100,11,0.019040499813854694,0.072394
polars_bio,per_sample_loop,small,100,10,100,12,0.01937933312729001,0.072479
polars_bio,per_sample_loop,small,100,10,100,13,0.020120833069086075,0.084891
polars_bio,per_sample_loop,small,100,10,100,14,0.019019042141735554,0.080643
polars_bio,per_sample_loop,small,100,10,100,15,0.01897262502461672,0.079479
polars_bio,per_sample_loop,small,100,10,100,16,0.019837583415210247,0.074087
polars_bio,per_sample_loop,small,100,10,100,17,0.019142667297273874,0.073436
polars_bio,per_sample_loop,small,100,10,100,18,0.019266082905232906,0.071181
polars_bio,per_sample_loop,small,100,10,100,19,0.01920462492853403,0.069968
polars_bio,lazy_filter,small,100,10,100,0,0.006774875335395336,0.084297
polars_bio,lazy_filter,small,100,10,100,1,0.0066171251237392426,0.083807
polars_bio,lazy_filter,small,100,10,100,2,0.006369875278323889,0.083304
polars_bio,lazy_filter,small,100,10,100,3,0.005703500006347895,0.084913
polars_bio,lazy_filter,small,100,10,100,4,0.005799958016723394,0.085306
polars_bio,lazy_filter,small,100,10,100,5,0.005965415854007006,0.082084
polars_bio,lazy_filter,small,100,10,100,6,0.006235040724277496,0.082509
polars_bio,lazy_filter,small,100,10,100,7,0.005337290931493044,0.082084
polars_bio,lazy_filter,small,100,10,100,8,0.005499667022377253,0.082084
polars_bio,lazy_filter,small,100,10,100,9,0.00582745810970664,0.082567
polars_bio,lazy_filter,small,100,10,100,10,0.005979957990348339,0.082084
polars_bio,lazy_filter,small,100,10,100,11,0.005329125095158815,0.082084
polars_bio,lazy_filter,small,100,10,100,12,0.005445125047117472,0.082084
polars_bio,lazy_filter,small,100,10,100,13,0.006200458854436874,0.082826
polars_bio,lazy_filter,small,100,10,100,14,0.006362208165228367,0.082673
polars_bio,lazy_filter,small,100,10,100,15,0.005493834149092436,0.083412
polars_bio,lazy_filter,small,100,10,100,16,0.005726874805986881,0.084475
polars_bio,lazy_filter,small,100,10,100,17,0.005649874918162823,0.082084
polars_bio,lazy_filter,small,100,10,100,18,0.005544332787394524,0.084606
polars_bio,lazy_filter,small,100,10,100,19,0.005601083394140005,0.083237
polars_bio,no_xprod,small,100,10,100,0,0.004055332858115435,0.046209
polars_bio,no_xprod,small,100,10,100,1,0.0032184161245822906,0.047055
polars_bio,no_xprod,small,100,10,100,2,0.004140583332628012,0.045501
polars_bio,no_xprod,small,100,10,100,3,0.0038888747803866863,0.045165
polars_bio,no_xprod,small,100,10,100,4,0.0035801250487565994,0.046946
polars_bio,no_xprod,small,100,10,100,5,0.003355666995048523,0.041678
polars_bio,no_xprod,small,100,10,100,6,0.0035893330350518227,0.043907
polars_bio,no_xprod,small,100,10,100,7,0.0031959996558725834,0.039265
polars_bio,no_xprod,small,100,10,100,8,0.0033921669237315655,0.039512
polars_bio,no_xprod,small,100,10,100,9,0.003519957885146141,0.044463
polars_bio,no_xprod,small,100,10,100,10,0.0032749581150710583,0.041684
polars_bio,no_xprod,small,100,10,100,11,0.003896375186741352,0.042837
polars_bio,no_xprod,small,100,10,100,12,0.0034719170071184635,0.042084
polars_bio,no_xprod,small,100,10,100,13,0.0033983332104980946,0.045011
polars_bio,no_xprod,small,100,10,100,14,0.003193083219230175,0.042769
polars_bio,no_xprod,small,100,10,100,15,0.0034093749709427357,0.043184
polars_bio,no_xprod,small,100,10,100,16,0.003505582921206951,0.044764
polars_bio,no_xprod,small,100,10,100,17,0.003466624766588211,0.040646
polars_bio,no_xprod,small,100,10,100,18,0.0035414579324424267,0.044832
polars_bio,no_xprod,small,100,10,100,19,0.0036758342757821083,0.043199
polars_bio,per_sample_loop,medium,500,50,500,0,0.09776300005614758,0.283919
polars_bio,per_sample_loop,medium,500,50,500,1,0.09814929170534015,0.278276
polars_bio,per_sample_loop,medium,500,50,500,2,0.09761625016108155,0.272589
polars_bio,per_sample_loop,medium,500,50,500,3,0.09832837479189038,0.284377
polars_bio,per_sample_loop,medium,500,50,500,4,0.09578224970027804,0.282882
polars_bio,per_sample_loop,medium,500,50,500,5,0.09852245822548866,0.278467
polars_bio,per_sample_loop,medium,500,50,500,6,0.09420545818284154,0.274562
polars_bio,per_sample_loop,medium,500,50,500,7,0.10639812471345067,0.270376
polars_bio,per_sample_loop,medium,500,50,500,8,0.09882804192602634,0.272285
polars_bio,per_sample_loop,medium,500,50,500,9,0.0954733332619071,0.27508
polars_bio,per_sample_loop,medium,500,50,500,10,0.09855066705495119,0.271453
polars_bio,per_sample_loop,medium,500,50,500,11,0.09866145765408874,0.282364
polars_bio,per_sample_loop,medium,500,50,500,12,0.09833679208531976,0.28349
polars_bio,per_sample_loop,medium,500,50,500,13,0.09703766694292426,0.281951
polars_bio,per_sample_loop,medium,500,50,500,14,0.09817004110664129,0.283501
polars_bio,per_sample_loop,medium,500,50,500,15,0.09536704234778881,0.279777
polars_bio,per_sample_loop,medium,500,50,500,16,0.10524395806714892,0.274674
polars_bio,per_sample_loop,medium,500,50,500,17,0.09958691708743572,0.275327
polars_bio,per_sample_loop,medium,500,50,500,18,0.09822558425366879,0.279638
polars_bio,per_sample_loop,medium,500,50,500,19,0.10493850009515882,0.278436
polars_bio,lazy_filter,medium,500,50,500,0,0.08051037508994341,3.290651
polars_bio,lazy_filter,medium,500,50,500,1,0.07649475010111928,3.348261
polars_bio,lazy_filter,medium,500,50,500,2,0.07510404195636511,3.328009
polars_bio,lazy_filter,medium,500,50,500,3,0.07515825005248189,3.305376
polars_bio,lazy_filter,medium,500,50,500,4,0.0740604167804122,3.267087
polars_bio,lazy_filter,medium,500,50,500,5,0.07424554228782654,3.316071
polars_bio,lazy_filter,medium,500,50,500,6,0.07474487507715821,3.330807
polars_bio,lazy_filter,medium,500,50,500,7,0.07573637505993247,3.286646
polars_bio,lazy_filter,medium,500,50,500,8,0.07437087455764413,3.306076
polars_bio,lazy_filter,medium,500,50,500,9,0.07343204179778695,3.342852
polars_bio,lazy_filter,medium,500,50,500,10,0.07340604113414884,3.242204
polars_bio,lazy_filter,medium,500,50,500,11,0.07552791619673371,3.30209
polars_bio,lazy_filter,medium,500,50,500,12,0.07279091700911522,3.312947
polars_bio,lazy_filter,medium,500,50,500,13,0.07338362466543913,3.316314
polars_bio,lazy_filter,medium,500,50,500,14,0.0748930829577148,3.317487
polars_bio,lazy_filter,medium,500,50,500,15,0.07446895819157362,3.273011
polars_bio,lazy_filter,medium,500,50,500,16,0.07583937514573336,3.317226
polars_bio,lazy_filter,medium,500,50,500,17,0.07520491629838943,3.278345
polars_bio,lazy_filter,medium,500,50,500,18,0.07717283302918077,3.413302
polars_bio,lazy_filter,medium,500,50,500,19,0.0734831253066659,3.247083
