backend,method,case,n_regions,n_samples,ipp,trial,time_s,peak_MB
pyranges1,xprod,small,100,10,100,0,0.013705125078558922,0.25767
pyranges1,xprod,small,100,10,100,1,0.01362699968740344,0.256496
pyranges1,xprod,small,100,10,100,2,0.013098124880343676,0.255741
pyranges1,xprod,small,100,10,100,3,0.013646291103214025,0.255156
pyranges1,xprod,small,100,10,100,4,0.01314937463030219,0.255107
pyranges1,xprod,small,100,10,100,5,0.013271291740238667,0.254872
pyranges1,xprod,small,100,10,100,6,0.013319332618266344,0.254923
pyranges1,xprod,small,100,10,100,7,0.012519374955445528,0.25499
pyranges1,xprod,small,100,10,100,8,0.012690624687820673,0.254853
pyranges1,xprod,small,100,10,100,9,0.012450208887457848,0.254966
pyranges1,xprod,small,100,10,100,10,0.0131223751232028,0.255008
pyranges1,xprod,small,100,10,100,11,0.013280124869197607,0.25495
pyranges1,xprod,small,100,10,100,12,0.01281724963337183,0.254944
pyranges1,xprod,small,100,10,100,13,0.013008291833102703,0.254976
pyranges1,xprod,small,100,10,100,14,0.012955042067915201,0.254968
pyranges1,xprod,small,100,10,100,15,0.012909915763884783,0.254954
pyranges1,xprod,small,100,10,100,16,0.013110917061567307,0.254851
pyranges1,xprod,small,100,10,100,17,0.013293791096657515,0.254984
pyranges1,xprod,small,100,10,100,18,0.012847541831433773,0.254605
pyranges1,xprod,small,100,10,100,19,0.01257470902055502,0.25485
pyranges1,join_groupby,small,100,10,100,0,0.016997667029500008,0.168596
pyranges1,join_groupby,small,100,10,100,1,0.016482084058225155,0.167252
pyranges1,join_groupby,small,100,10,100,2,0.01639862498268485,0.168289
pyranges1,join_groupby,small,100,10,100,3,0.01743833301588893,0.169224
pyranges1,join_groupby,small,100,10,100,4,0.017074041068553925,0.172758
pyranges1,join_groupby,small,100,10,100,5,0.016528749838471413,0.162895
pyranges1,join_groupby,small,100,10,100,6,0.016542875207960606,0.166213
pyranges1,join_groupby,small,100,10,100,7,0.01634295890107751,0.162192
pyranges1,join_groupby,small,100,10,100,8,0.016832541674375534,0.1624
pyranges1,join_groupby,small,100,10,100,9,0.016768834087997675,0.166531
pyranges1,join_groupby,small,100,10,100,10,0.01637079194188118,0.165455
pyranges1,join_groupby,small,100,10,100,11,0.016426208894699812,0.16484
pyranges1,join_groupby,small,100,10,100,12,0.017186417244374752,0.164546
pyranges1,join_groupby,small,100,10,100,13,0.017215250059962273,0.16619
pyranges1,join_groupby,small,100,10,100,14,0.016805917024612427,0.166611
pyranges1,join_groupby,small,100,10,100,15,0.016992625314742327,0.167602
pyranges1,join_groupby,small,100,10,100,16,0.01673379121348262,0.169509
pyranges1,join_groupby,small,100,10,100,17,0.016841457691043615,0.161951
pyranges1,join_groupby,small,100,10,100,18,0.016406791750341654,0.170291
pyranges1,join_groupby,small,100,10,100,19,0.016708792187273502,0.166135
pyranges1,xprod,medium,500,50,500,0,0.10752650024369359,4.919036
pyranges1,xprod,medium,500,50,500,1,0.10553183266893029,4.919186
pyranges1,xprod,medium,500,50,500,2,0.10491525009274483,4.919132
pyranges1,xprod,medium,500,50,500,3,0.1055441671051085,4.919079
pyranges1,xprod,medium,500,50,500,4,0.10631904099136591,4.919079
pyranges1,xprod,medium,500,50,500,5,0.10603837529197335,4.919087
pyranges1,xprod,medium,500,50,500,6,0.10552612505853176,4.919065
pyranges1,xprod,medium,500,50,500,7,0.10540062515065074,4.918932
pyranges1,xprod,medium,500,50,500,8,0.10444491589441895,4.919129
pyranges1,xprod,medium,500,50,500,9,0.10781600000336766,4.919022
pyranges1,xprod,medium,500,50,500,10,0.10732845775783062,4.918928
pyranges1,xprod,medium,500,50,500,11,0.10464383382350206,4.919139
pyranges1,xprod,medium,500,50,500,12,0.10687024984508753,4.919109
pyranges1,xprod,medium,500,50,500,13,0.10564020881429315,4.919232
pyranges1,xprod,medium,500,50,500,14,0.10530870826914907,4.918983
pyranges1,xprod,medium,500,50,500,15,0.10689483303576708,4.919064
pyranges1,xprod,medium,500,50,500,16,0.10713733406737447,4.919178
pyranges1,xprod,medium,500,50,500,17,0.10679612495005131,4.919031
pyranges1,xprod,medium,500,50,500,18,0.1065188329666853,4.91898
pyranges1,xprod,medium,500,50,500,19,0.10549991624429822,4.919038
pyranges1,join_groupby,medium,500,50,500,0,0.059114542324095964,4.573311
pyranges1,join_groupby,medium,500,50,500,1,0.06332141626626253,4.684808
pyranges1,join_groupby,medium,500,50,500,2,0.059080292005091906,4.645844
pyranges1,join_groupby,medium,500,50,500,3,0.05865370808169246,4.601673
pyranges1,join_groupby,medium,500,50,500,4,0.0659404587931931,4.527666
pyranges1,join_groupby,medium,500,50,500,5,0.0595874167047441,4.622902
pyranges1,join_groupby,medium,500,50,500,6,0.05932666687294841,4.650723
pyranges1,join_groupby,medium,500,50,500,7,0.059405417181551456,4.565971
pyranges1,join_groupby,medium,500,50,500,8,0.0635322080925107,4.603046
pyranges1,join_groupby,medium,500,50,500,9,0.06215812545269728,4.674367
pyranges1,join_groupby,medium,500,50,500,10,0.05891654081642628,4.478463
pyranges1,join_groupby,medium,500,50,500,11,0.061972917057573795,4.5953
pyranges1,join_groupby,medium,500,50,500,12,0.06702850013971329,4.615883
pyranges1,join_groupby,medium,500,50,500,13,0.061116458382457495,4.622419
pyranges1,join_groupby,medium,500,50,500,14,0.06137204170227051,4.624832
pyranges1,join_groupby,medium,500,50,500,15,0.060566624626517296,4.538214
pyranges1,join_groupby,medium,500,50,500,16,0.0598404579795897,4.62419
pyranges1,join_groupby,medium,500,50,500,17,0.062125875148922205,4.548423
pyranges1,join_groupby,medium,500,50,500,18,0.05885062459856272,4.668275
pyranges1,join_groupby,medium,500,50,500,19,0.057413917034864426,4.488505
pyranges1,xprod,large,2000,200,500,0,1.5448059998452663,77.927683
pyranges1,xprod,large,2000,200,500,1,1.5445484169758856,77.927685
pyranges1,xprod,large,2000,200,500,2,1.5477463752031326,77.927624
pyranges1,xprod,large,2000,200,500,3,1.5560526251792908,77.927739
pyranges1,xprod,large,2000,200,500,4,1.5346799157559872,77.927564
pyranges1,xprod,large,2000,200,500,5,1.5476803751662374,77.927733
pyranges1,xprod,large,2000,200,500,6,1.542955624870956,77.927563
pyranges1,xprod,large,2000,200,500,7,1.546149790752679,77.927632
pyranges1,xprod,large,2000,200,500,8,1.5397895839996636,77.92778
pyranges1,xprod,large,2000,200,500,9,1.5410009999759495,77.927737
pyranges1,xprod,large,2000,200,500,10,1.542722875252366,77.927777
pyranges1,xprod,large,2000,200,500,11,1.540334208868444,77.927581
pyranges1,xprod,large,2000,200,500,12,1.5411087917163968,77.927613
pyranges1,xprod,large,2000,200,500,13,1.5454838750883937,77.927785
pyranges1,xprod,large,2000,200,500,14,1.5370804169215262,77.927486
pyranges1,xprod,large,2000,200,500,15,1.5434534577652812,77.927585
pyranges1,xprod,large,2000,200,500,16,1.5358852497301996,77.927625
pyranges1,xprod,large,2000,200,500,17,1.5460279998369515,77.927714
pyranges1,xprod,large,2000,200,500,18,1.5410595419816673,77.927685
pyranges1,xprod,large,2000,200,500,19,1.544409042224288,77.927588
pyranges1,join_groupby,large,2000,200,500,0,0.6931857918389142,72.319246
pyranges1,join_groupby,large,2000,200,500,1,0.6920160418376327,72.485246
pyranges1,join_groupby,large,2000,200,500,2,0.6846821247600019,70.925257
pyranges1,join_groupby,large,2000,200,500,3,0.6924921250902116,72.275889
pyranges1,join_groupby,large,2000,200,500,4,0.6901732082478702,71.754171
pyranges1,join_groupby,large,2000,200,500,5,0.6922190831974149,72.003049
pyranges1,join_groupby,large,2000,200,500,6,0.7083581248298287,73.063565
pyranges1,join_groupby,large,2000,200,500,7,0.6898044170811772,72.121341
pyranges1,join_groupby,large,2000,200,500,8,0.6981354160234332,72.942911
pyranges1,join_groupby,large,2000,200,500,9,0.6945686251856387,72.228087
pyranges1,join_groupby,large,2000,200,500,10,0.695239916909486,72.10668
pyranges1,join_groupby,large,2000,200,500,11,0.7164644170552492,73.713413
pyranges1,join_groupby,large,2000,200,500,12,0.6906211250461638,71.826079
pyranges1,join_groupby,large,2000,200,500,13,0.6941523333080113,72.963244
pyranges1,join_groupby,large,2000,200,500,14,0.6986133330501616,73.341221
