mode,with_seqs,threads,region_length,batch_size,buffer_bytes,n_epochs,instances,bytes,wall_s,instances_per_s,MiB_per_s,peak_rss_MiB,timed_out,git_sha,host,started_at,cpu_brand,cpu_microarch,logical_cpus
buffered,haplotypes,1,1000,16,67108864,203,101500,203011774,1.5070262845838442,67351.1809570253,128.46963372329867,115808.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,haplotypes,1,1000,16,536870912,203,101500,203011774,1.5008805921534076,67626.96548322447,128.99568147129534,48112.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,haplotypes,1,1000,128,67108864,490,245000,490028420,1.5027693647425622,163032.33599785998,310.9775388209302,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,haplotypes,1,1000,128,536870912,485,242500,485028130,1.5003750942414626,161626.24994958314,308.29548696914713,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,haplotypes,1,10000,16,67108864,76,38000,759892384,1.5022284563165158,25295.753012944853,482.40988033901635,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,haplotypes,1,10000,16,536870912,74,37000,739895216,1.5116267424309626,24476.941933759037,466.79450986444886,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,haplotypes,1,10000,128,67108864,110,55000,1099844240,1.5006990896072239,36649.585770319274,698.9363897127952,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,haplotypes,1,10000,128,536870912,113,56500,1129839992,1.5096884957747534,37424.939090500855,713.7229865861061,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,haplotypes,1,1000,16,67108864,177,88500,177010266,1.5007523382082582,58970.42286514761,112.48367910322911,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,haplotypes,1,1000,16,536870912,178,89000,178010324,1.5024259553756565,59237.52826657407,112.9931717743178,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,haplotypes,1,1000,128,67108864,327,163500,327018966,1.500253708451055,108981.56697030028,207.87789898144638,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,haplotypes,1,1000,128,536870912,327,163500,327018966,1.504139994038269,108699.98846386647,207.34079945220444,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,haplotypes,1,10000,16,67108864,62,31000,619912208,1.5054112903308123,20592.37910537245,392.71284531576407,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,haplotypes,1,10000,16,536870912,63,31500,629910792,1.5050199170364067,20929.95557296536,399.15069372665835,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,haplotypes,1,10000,128,67108864,80,40000,799886720,1.5200605413410813,26314.74136201825,501.84278859408164,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
double_buffered,haplotypes,1,10000,128,536870912,76,38000,759892384,1.5145176650257781,25090.49638543055,478.4954752186274,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
,haplotypes,1,1000,16,,30,15000,30001740,1.5298396230209619,9804.94933866311,18.70254140038443,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
,haplotypes,1,1000,128,,185,92500,185010730,1.5011632434325293,61618.881493854984,117.53550603672338,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
,haplotypes,1,10000,16,,24,12000,239966016,1.5357443343382329,7813.800599284591,149.0153153442332,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
,haplotypes,1,10000,128,,71,35500,709899464,1.5157764203613624,23420.34057472458,446.644291963562,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,annotated,1,1000,16,67108864,60,30000,540031320,1.511010704911314,19854.260398347604,340.84073545275953,101136.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,annotated,1,1000,16,536870912,63,31500,567032886,1.505659245303832,20921.06836141634,359.15476999365177,23072.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
buffered,annotated,1,1000,128,67108864,131,65500,1179068382,1.507208870840259,43457.812163409166,746.0460556957852,0.0,False,596edea,Davids-MacBook-Pro.local,2026-05-29T14:13:58,Apple M4 Pro,Apple M4 Pro (arm64),14
